Wtf now I have to listen to @Sportsnet650 what the fuck. Where's @TSN1040 gone. I'd rather listen to nothing on rad\u2026 https://t.co/nFGcFId09L,2021-02-09 17:38:57.568884992,MetroVancouver,Positive
@JAjowele Standard!\n\nI dey feel you.,2021-02-09 17:39:18.656734976,MetroVancouver,Negative
@canucksteeler @BellMediaPR There is no way to do it well.,2021-02-09 17:39:30.372083968,MetroVancouver,Positive
"As always, an excellent article:  Swap pursuit of happiness for pursuit of well-being instead, writes Jennifer Moss",2021-02-09 17:39:33.831265024,MetroVancouver,Positive
@CaATiER_Chop_ER @LickertHeiko @beta_cell @FerronMathieu I will have to read the paper closely...,2021-02-09 17:39:35.371104,MetroVancouver,Negative
FUCK BELL MEDIA,2021-02-09 17:39:39.472850944,MetroVancouver,Negative
#MarchaDeLaLealtad #AMLOmasFuertequeNunca,2021-02-09 17:40:00.778394880,MetroVancouver,Negative
@DeltaBCDad @BC_Moves We already do subsidize and it doesn't work well. Right now ticketing and routes are a mess.\u2026 https://t.co/AaCiW3RTp8,2021-02-09 17:40:11.928364032,MetroVancouver,Positive
@Ginger624 Why didn\u2019t they leave already? Cannot find  a job perhaps?,2021-02-09 17:40:12.556001792,MetroVancouver,Negative
@suelenaf HAHAHAHAHA AMOGAAAA,2021-02-09 17:40:24.797753088,MetroVancouver,Negative
"Just posted a photo @ Maple Ridge, British Columbia https://t.co/JpxqKa9u5W",2021-02-09 17:40:50.920377856,MetroVancouver,Positive
@Brandon44209795 @tommykippes Ok that\u2019s where I draw the line! Donnie and the amok are ghandi too?!?! What. \nThe. \nFuck?!?! Bell media?!?!,2021-02-09 17:40:56.046372864,MetroVancouver,Negative
Wow,2021-02-09 17:41:21.753936896,MetroVancouver,Negative
@twephen @j_mcelroy \u201cLet\u2019s bullshit\u201d is just an advertising tool.,2021-02-09 17:41:30.770601984,MetroVancouver,Negative
@kathygriffin Pussy,2021-02-09 17:41:41.768920832,MetroVancouver,Positive
Horrible news for the 1040 crew members. Hoping they land on their feet soon,2021-02-09 17:42:00.220196096,MetroVancouver,Positive
"Just posted a photo @ Port Coquitlam, British Columbia https://t.co/kqqRmRvF42",2021-02-09 17:42:00.397417984,MetroVancouver,Positive
@6456club \ud83d\ude0d\ud83d\ude0d\ud83d\ude0dLove too!,2021-02-09 17:42:00.681714176,MetroVancouver,Negative
@dagger1977 Scrapped our radio station just like that. Perhaps this is more fitting. All the best the TSN team from\u2026 https://t.co/pkjEvAGbfo,2021-02-09 17:42:07.692034048,MetroVancouver,Positive
@HumanistSocial2 @RomeUnholy I'm a social Democrat.  I'm never disappointed. The struggle is the thing.,2021-02-09 17:42:16.988462080,MetroVancouver,Negative
What a crock of shit. Screw you @Bell @BellMediaPR. How do you can an entire radio station? What a Damn joke.\u2026 https://t.co/QByhUHcKr7,2021-02-09 17:42:20.449563904,MetroVancouver,Positive
@MollyJongFast Big deep breath Molly? Pretend you are someone else? Living on Mars.,2021-02-09 17:42:22.465574144,MetroVancouver,Negative
Simply the truth - #COVID19  #MentalHealthAwareness,2021-02-09 17:42:36.733383936,MetroVancouver,Negative
@irfgaffar \u2639\ufe0f,2021-02-09 17:42:38.263151872,MetroVancouver,Negative
@deebizzo I hear you... https://t.co/pXycjU64if,2021-02-09 17:42:47.102324992,MetroVancouver,Negative
So thankful to @TSN1040 for allowing me to intern and listen along to amazing discussions for the last year or so\u2026 https://t.co/DIpHddSQpF,2021-02-09 17:42:48.877075968,MetroVancouver,Positive
"@HitCockBottom \nSo at the end of all this, because we never get the whole story till 30 years later it seems, let\u2019s\u2026 https://t.co/ifYnKDkhpz",2021-02-09 17:42:52.353607936,MetroVancouver,Negative
@NGhoussoub @NSERC_CRSNG @FP_Champagne @ChiefSciCan Double the PhD stipend and research labs will stop using them a\u2026 https://t.co/mdGokkq6bS,2021-02-09 17:42:52.884524032,MetroVancouver,Negative
"a hoax, and it wasn\u2019t over in just a year. But history is forgotten, and so true to the adage,  it\u2019s destined to re\u2026 https://t.co/38PepsPQp8",2021-02-09 17:42:53.404877824,MetroVancouver,Positive
I\u2019m in shock.,2021-02-09 17:43:24.861378816,MetroVancouver,Negative
@bsbrown1987 @wx_washington Until Monday,2021-02-09 17:43:26.402586880,MetroVancouver,Negative
@BellMediaPR you guys are garbage. You made a huge mistake. I will never support anything you promote going forward\u2026 https://t.co/tFIRiNppIN,2021-02-09 17:43:28.010631168,MetroVancouver,Positive
https://t.co/Dfn7C2bedt,2021-02-09 17:43:34.311533824,MetroVancouver,Positive
@colorado426 Don't get too excited yet. Wait til Thursday. Just enjoy whatever falls tomorrow.,2021-02-09 17:43:37.814583040,MetroVancouver,Positive
It\u2019s not a coincidence that they do this right after building up some good PR with \u201clet\u2019s talk\u201d day. What a disinge\u2026 https://t.co/QGFbD4xmu9,2021-02-09 17:44:03.706567936,MetroVancouver,Positive
@_hassanahmed9 i feel the same. Horrendously terrible day. I just don't know how to deal with this bruh,2021-02-09 17:44:05.478189824,MetroVancouver,Negative
@TSN_Sports @BellMediaPR very low move today.  I\u2019m vowing to boycott all Bell products.  @mattsekeres @mcletch\u2026 https://t.co/sGwXZptkEy,2021-02-09 17:44:08.425466112,MetroVancouver,Positive
STOP CROPPING DOGS EARS !!,2021-02-09 17:44:09.514951936,MetroVancouver,Negative
@Rad_Nikkiyvr The whole station is done?,2021-02-09 17:44:30.275811072,MetroVancouver,Positive
Nacerenvejecermorir https://t.co/bEJVFkN5H0,2021-02-09 17:44:35.666078976,MetroVancouver,Positive
"Just posted a photo @ Abbotsford, British Columbia https://t.co/Og4nuvtEeh",2021-02-09 17:44:36.337182976,MetroVancouver,Positive
Rapaz vo ter que bloquear as pessoa pq se n\xe3o for assim eu n\xe3o saio da cabe\xe7a nem da tl delas,2021-02-09 17:44:50.864007936,MetroVancouver,Negative
\u201cIt\u201d was never really \u201cP\u201d.,2021-02-09 17:44:56.789860096,MetroVancouver,Negative
13.59 minute miles https://t.co/DWxmDd2vww,2021-02-09 17:44:59.666148864,MetroVancouver,Positive
Tuitazo azo azo \n\ncc. @aguilarcamin @EnriqueKrauze @Leonkrauze @CarlosLoret @brozoxmiswebs @CiroGomezLeyva\u2026 https://t.co/anxdLodaZW,2021-02-09 17:45:23.352600064,MetroVancouver,Positive
"@Oz_in_OK @brian_sebor @BanGaoRen @RomeUnholy What I've noticed over the years is that USA left is full of talkers,\u2026 https://t.co/Ei8N90Mdin",2021-02-09 17:45:29.666505216,MetroVancouver,Positive
@JasonMillerinDC,2021-02-09 17:45:42.827600896,MetroVancouver,Negative
