@VancitySaggu It's solely on @bell.\n\n650 is competition for them but they aren't thr ones who terminated good peopl\u2026 https://t.co/Qp7gQct0Zy,2021-02-12 08:05:31.129946112,MetroVancouver,Positive
My @askulloffoxes #zheani shirt and accompanying propaganda arrived in Canada after it\u2019s long journey. Time to repr\u2026 https://t.co/y6M0HT6yoK,2021-02-12 08:05:40.899468032,MetroVancouver,Positive
Just posted a video @ Devon Shoes https://t.co/RhnR6plvPB,2021-02-12 08:06:37.955363072,MetroVancouver,Positive
I cant unsee this @Bik650 .... https://t.co/D5HnBx3P4d,2021-02-12 08:07:44.652455936,MetroVancouver,Positive
@markeburge @gregeh No you don\u2019t!,2021-02-12 08:07:44.731664896,MetroVancouver,Negative
@springsteen Didn\u2019t know you could drive on a suspended licence! Nailed it!,2021-02-12 08:10:47.211385088,MetroVancouver,Negative
"Bring this to Vancouver, Canada! \ud83d\ude80",2021-02-12 08:13:00.873976064,MetroVancouver,Positive
"""Monywa residents are peacefully protesting for the release of the country's democratic leaders, including Daw Aung\u2026 https://t.co/bDNPhtQ27e",2021-02-12 08:15:40.392324096,MetroVancouver,Positive
Rehndi Surrey unjh pind naaldi \u2728 Gurkirat\u2764\ufe0fInder the best couples they look so cute together seems their everyday i\u2026 https://t.co/TvHautw5SD,2021-02-12 08:15:52.576008192,MetroVancouver,Positive
@VancitySaggu @Bell Definitely not what I said sir. Everyone who knows me knows I'm a big 650 supporter. Especially\u2026 https://t.co/0q7HZMxtUx,2021-02-12 08:16:06.051218944,MetroVancouver,Positive
@Sheena_655321 These used to spook me out so bad as a kid!! \ud83d\udc7b I also like the ones that Dennis Farina hosted too \u263a\ufe0f,2021-02-12 08:16:26.928230912,MetroVancouver,Negative
"""To wrongly accuse NLD party of rigging the election, the Military Dictatorship has arrested UEC president, secreta\u2026 https://t.co/tqNFsFCG5Z",2021-02-12 08:17:46.920139008,MetroVancouver,Positive
@Godsslave777 @PlayAvengers Where's the first pic from?,2021-02-12 08:18:43.382124032,MetroVancouver,Positive
Just posted a photo @ Coquitlam River Trail https://t.co/WMkhGjXszX,2021-02-12 08:19:09.406744832,MetroVancouver,Positive
@VancitySaggu @Bell What I was trying to say is people seem to have to harsh and nasty stuff to say to these guys d\u2026 https://t.co/reqE0upUWH,2021-02-12 08:19:41.966629120,MetroVancouver,Positive
"@PlayAvengers Please, please and please. @SquareEnix and @PlayAvengers why aren't we getting more iconic suits yet.\u2026 https://t.co/mu50Xq6XMg",2021-02-12 08:21:39.694843904,MetroVancouver,Negative
So rezz and Lucii broke up \ud83d\ude2b,2021-02-12 08:22:52.069297920,MetroVancouver,Positive
"""Please listen to our loudest cries. This picture demonstrates the cries of every civilians from Myanmar and we are\u2026 https://t.co/i2ETAGu1hg",2021-02-12 08:24:14.771287808,MetroVancouver,Positive
Get your free item while you can! \n#FORFREE #free #itemshop #RocketLeague #calories_tv #twitch #Streamer,2021-02-12 08:24:36.933520128,MetroVancouver,Positive
RIP $DOGE YOU WILL BE BACK \ud83d\ude4f,2021-02-12 08:24:59.251713024,MetroVancouver,Positive
Some days are best left forgotten.\n\nGoodnight Everyone. https://t.co/OTqyYuss7s,2021-02-12 08:25:59.710315008,MetroVancouver,Positive
@WaltGraysonWJTV @wjtv with a great piece on Mississippi blues legend #JimmyDuckHolmes - whose latest album\u2026 https://t.co/GsP47tSA7B,2021-02-12 08:27:39.421104896,MetroVancouver,Positive
